polarity,final_messages
0,You clearly dont realize how mean my spaghetti is
0,and a friend of mine had the weirdest legends about kangaroos
0,i moved back home in fitzroy now
0,Why are you taking a terrible seminar
0,hahahaha
0,isn't that lederhosen?
0,6'2 unfortunately not 6'4 but a man can dream right
0,nah he's not blonde
0,Phew I don't have to unmatch you are cultured yourself
0,Honestly haha I've been making my friends and fam watch
1,inanimate objects?
0,why's the vacuum cleaner called henry
0,i don't think they have them anymore but they have this inoperable turntable
0,What if I dont have a car but I can type 135 WPM. Do I still make the cut or nah
0,I hope too. I'm sure it's exactly that down the line.
0,I like the yogurt soju
0,all that sugar and taurine
0,and then you'll commit suicide?
0,nah he doesn't look so little
0,constant masturbator then
0,gelatin? idk
0,um
0,Haha understandable good time to kick a caffeine habit though. Getting pretty depressed from lack of social contact. Trying to stay productive though and apply for jobs so I'm not sad and also unemployed.
0,I'm boring I just use the default heart  I use a lot of emojis lol
0,Not too bad. Whats your secret to staying above 0 in these trying times
0,jesus i don't know anything but bestiality
0,Yeah feeling good! What major are you?
0,nice cat i hate to disappoint but i'm not jlaw
0,Some stuff is like 60 or 70 percent cheaper than east side
0,How is ur trip to Boston going?
0,i am better on a miniature guitar also known as a ukulele
0,there aren't many swedish restaurants at least in my end of town
1,i still like newspapers as weird as that sounds
0,new vinyls my turntable's new and i don't have the patience to clean the old ones
0,i have some friends who play music or act and when i ask them what they're up to they won't shut up about whatever production they're working on
0,and really why are unimelb students so arrogant?
0,do you work at a club or something?
0,Math ehhh any English or papers tho I'm about it
0,cates and doges
1,Damn girl I wish I was your student
0,is it? i was lobbying for biscuit but i lost
0,No worries I usually have them off too so I spend less time on this app hahaha
0,jack white lazaretto
1,same are you at uni?
1,saying that in the least macabre way possible
0,Heylo what's your go to late night drive song
0,i like wombats
0,? I haven't changed my photo since downloading
0,That obvious huh? 
0,biomed at melbourne now i think
0,okay i'm not sure
0,and then i tell them
0,Sorry it's just how it goes 
0,I win
1,haha formal date one year
0,at least that's what it looks like
0,i'm alright with memorising but i just like dissection honestly
0,Many
0,Should have known dating a guy named Bailey was a mistake
0,thank you...?
0,mac de marco is the fucking bee's knees
0,next time you go to the supermarket
1,cool what's your band's name
1,It'll be perfect for concerts and reaching the REALLY high shelves at Costco
0,are you a chem student or something?
0,that's a lot of beer
0,i don't really drink red bull's my caffeine of choice
0,Hahaha damn it you got with me the or. Either way I was bluffing you would probably wack me at both.
0,i'm doing science at melbourne i used to skate a little but now i've just got a penny for uni
1,If you were a fruit you would be a fineapple
0,r you at uni as well then?
0,let me guess are you double majoring in accounting and finance?
1,Respectfully from 6 ft away ofc
0,you take nurofen then two hours later you take panadol
0,what rmitdeakin wasn't good enough?
0,what are doing now? garagebanding?
0,that's an excellent story poor Jake. and bloody possums
0,you decided to jump?
0,Oh shit it's in ur bio I'm stupid lol
0,nice trench
1,omg yes they lay eggs
0,um. that doesn't really work.
1,Best. Match. Ever.
0,nice to the mountains
0,and besides you'd be made of some kind of alloy and be conductive...
0,WAP baby
1,i was actually really looking forward to having a whack with the mallet
0,i have no idea i have about 2 weeks to pick a major
0,midnight snack'
0,haha not really i am terrible at wii
0,Talk to u tmrw nice talking to u!! Good luck at work tmrw 
0,do you know amy?
0,A white claw mixed with a monster energy drink really
0,You go to UChicago
1,Debbie be honest with me let's have a deep conversation
0,you didn't like monash?
0,greetings
0,Yup 2 lokos one taped to each hand
0,um what?
0,That shitty portrait is calling my name
0,MAK how are you
0,Don't reveal me
1,If you kiss at night tho Covid doesn't know 
0,Lmaohey Stian tell me the last time Alyssa was drunk drunk
0,If this is a reference to whether I cook good spaghetti that answer is yes
0,is that an antique rocking horse?
0,which school did you go to...
0,but could 5 V elecrocute someone?
0,is one word sufficient?
0,what kind of semi acoustic is that?
1,taco truck is the best
0,Conley what's good
0,you're
0,what did you do?
0,I suspect the same thing with me regarding gluten. I tested negative for celiac but get really fatigurd when I eat bread
0,i am actually presently not drinking however i do attend alcohol fuelled events and watch my friends get really drunk
0,learn something knew everyday
0,Oh that's so dope!!
0,Hey Lizzie what's ur most played song on Spotify this week
0,i make no promises
0,Best invention of all time
0,the only thing i learnt from pharmacology
0,uni's good it keeps me busy because i'm not sure what i'd do if i wasn't going to uni
0,jack black?
0,are you a fan or something
1,it was insanely crowded. did you have fun?
0,Hey I'm pretty damaged not gonna lie
0,had a girl in my class who had a really wicked throw in that game where you throw balls at people
0,croquet
1,that's a good idea they're coffin nails
0,Phew thought it might be a deal breaker
0,I'm doing good
0,here
0,Oh nice I've heard COIN! I haven't listened to Charlie Burg but I'll def listen
0,I'm planning on finishing undergrad and going into my career but hopefully doing evening MBA through my company haha
0,do you get involved with union at all?
0,we have dark floors so there's always clumps of fur everywhere
0,Hey Bella 
0,hahaha do people actually think that?
0,or great dane?
0,Okay maybe we cant date but you CAN educate me
0,i'm a uni student
0,some friends of mine went up there for choir and went ballistic with the candy
0,you put a disclaimer in your about me section
0,a lot of airfreshener
0,her tour was brilliant giant inflatable dog the flying hot dogs and stuff
0,isn't that a canadian thingv
0,and candles smell better than electricity. i like vinyl which is basically obsolete but if you'll believe it vinyl sales and production have been at an all time high
0,might as well whack in the apostrophe
0,what do you have to write essays for!
0,what do you listen to?
0,how do you feel about symphonic metal
0,i mean vocab is kind of important.
0,That's really noble. What sort of work are you doing for them?
0,"Okay! What's your field? Could it be toxicology. I hope not . 

I'm working full time. No concrete plans to go back to school for a while. Working at a Service Desk for an insurance company"
0,i think they're doing some kind of taylor swift themed trivia right now
0,did you go to splendour last year? they had a really good lineup
0,your bio says you were reprogrammed by AI? dear god this is the last time i'm referencing someone's bio.
0,Well it looks like I'm going to have to cook you some spaghetti
0,Do you go skiing a lot
0,We can switch back and forth
0,but their sound is cool and they're smithsy
0,a long time ago she's the antiasian mom and it weirds my friends out
0,today wasn't even that warm
0,science 
1,I'm curious what was your favorite part of yesterday?
0,Just list random traits that you have
0,I have a lot of friends there so I passported
0,I will trade you one video of my dog trying to eat a piece of cucumber out of my hand in exchange for two pictures of your cat. Willing to negotiate
0,it's a meme
0,i don't know anything about anime...
0,I apologize that my ancestors are not of your preferred nationality
1, it be like dat
0,If u can match ofc
0,Being a nanny plus class sounds like a lot haha  I struggled with class alone in college
0,Let's rig one night
0,not really charity work we're paid in sausage sizzles
1,Why are the good ones always 5000 miles away?
0,i only do it sometimes 
1,I am so excited to finally have someone who I can brag about this to
0,went to volunteer at uni watched the new AHS not much
0,um...no i haven't heard new guernica
0,what did you do with those rabbits
0,Haha. Yeah. I was tired today too but out of boredom.
0,it's only 10
1,fingers just a nibble
0,At UW
0,Added!
0,it's a job description...?
1,´ Was the last time with Shaosong
0,what did you do at monash?
0,lol probably it's overdiagnosed
0,i'm surprised you managed to stop masturbating for long enough to take your dp
0,if you're 3rd year i should probably congratulate you for not dropping out
0,What about zero feet
0,science @ unimelb
0,F in the chat
0,wine?
1,Perfect imma have the best wedding dance
0,ahh
0,Is this graded on a curve or is 610 still failing?
0,yes that she is
0,germany is as far as i've been east in europe
1,Can I see proof of your candy crush world ranking
0,i'm pretty sure everyone loves lollies
0,Bet I got u
0,trollzz
0,What kinds of art do you make?
0,Damn  big difference
1,Bet gimme ur snap let's do this
0,they're banning smoking in public spaces soon i think
0,My most recently used is some dry emojis way too many faces lol. I try to limit em
1,feel free to add me on instagram
0,"Wooden slabs are not affected by fire and also have a stronger blast resistance than that of wooden planks.

If you play on a server that has firespread enabled you do not need to worry about your wooden slabs catching fire!"
0,It's all been downhill since then
0,What sort of stuff do you like to do in Berkeley? With the quarantine and all I havent had much chance to explore
1,You're pretty cute I'd definitely hold your hand in public
0,dr. if i can swing it
0,Do I have the job?
0,uni
0,The Tinder algorithm just knew to put me near the front ofc ofc
0,tequila is the second worst alcoholic beverage imo
0,i've heard of a trend where people take stuffed toys and take photos of the toy sitting on the eiffel tower and such
0,Are you planning on doing music long term or something else?
0,my first thought was uncle vernon from harry potter...
0,Sad
0,I got thru Calc
0,not much going into uni to tutor for vcess
0,disembowlment
1,Lemme blow ur mind another day
0,i collect vinyl and i love the sound but i don't get the time to actually take them out for a spin too often
0,If everybody flossed their teeth would be healthier. Therefore there would be less of a need for dental surgery and dentists would lose money
0,That's what she said < your mom
0,and they eat everything...my doge just ate a whole stick of lipbalm the other day
0,but doges are the best
1,dear god i hate selfies but my hair was cooperating today and i felt obliged to document it
0,Yeah that's me hahahaha the young Kanye
0,Oh fuck next time I'll buy off your recommendation  my roommates decided they wanted 4loko tonight and tbh it may be cheap but probs not worth
0,they're fluffy but so much fur
0,i don't know what's happening then i end up being on barbequing duty O.O
1,i don't think anyone cares outside of myanmar 
0,i'm tutoring a class this year and it's pretty fun except for the clown i have in my class
0,haha where'd you have it
0,Apparently it's a bit harder to Ollie than we thought
0,you're trolling me
0,haha nice ahead of the curve by like 20 years
0,Ofc is that even a question
0,is the best
0,i don't know anything about ballet
0,maybe psychiatry
0,i figured you did
0,Yeah! Next winter I'll be all done sadly
0,oh you're in print media?
0,that's why i don't do relationships in semester it fucks with your head too much.
1,well alcohol is expensive... haha EDM? i'm more indie rockpop but that's not really for dancing
1,The biggest shame. I could only imagine what kind of trouble we would get into
0,Isn't he like 18 now
0,that is by far the strangest thing i've heard on tinder
0,On a scale of 1 to 10 how well is your life going right now?
0,as in deep in hipster territory
0,bloodbuzz ohio
0,are you mostly busy with classes or do you have a lot of other stuff?
0,It's going well how are you Shelby* noticed it wasn't Erin lol
0,Purely economical tax season is so tough
0,i think it was given to us by someone a really long time ago
1,NUT 
0,Let's go with blue for my first guess
0,Yes but only for emergencies
0,i wish they'd spell mint properly
0,On a scale of 1 to 10 how well is your life going right now
0,Aldi is mad cheap you gotta check it out
0,psych subspecialty?
0,not much was dragged to the farmer's market this morning
0,r u into anything else other than cats? or is that it
0,I woke up to my roommates wanting to drink
0,it's wordplay
0,Snapchat tronvaughn
0,split into three countries
0,you can make this clump that looks like another dog?
0,Pretty good! I worked all day so pretty boring overall lol but hbu?
0,And had a double to myself it was dope
0,Kim K and Kylie Jenner status instantly
0,no...dogs r the best
0,next time?
0,Is the last name Satan?
0,Point is we should go on a date so I can teach you how to floss
0,that's pretty cool you've made a job out of a hobby
0,You have a very specific type
